Estadio,Latitude,Longitude
Pocitos,-34.9108538,-56.1505748
Parque Central,23.137469,-82.358682
Estadio Centenario,-34.8945393,-56.1526841
Stadio Benito Mussolini,,
Giorgio Ascarelli,,
San Siro,45.4782003,9.123964
Littorale,43.2964557,-2.3025465
Giovanni Berta,43.7808838,11.2828191
Luigi Ferraris,46.0612126,13.2429135
Nazionale PNF,,
Littorio,45.3954386,10.2372198
Parc des Princes,48.8413634,2.2530693
Velodrome Municipale,,
Stade Olympique,45.5577984,-73.5516458
Stade Municipal,-4.777563,11.8658274
Stade V�lodrome,,
Stade de la Meinau,48.5599481,7.7551221
Cavee Verte,49.5032071,0.1061302
Stade du Parc Lescure,,
Victor Boucquey,,
Fort Carree,12.131112,15.0513235
Maracan� - Est�dio Jornalista M�rio Filho,,
Durival de Brito,,
Pacaembu,-21.566243,-51.2633114
Independencia,18.4155861,-71.6357396
Eucaliptos,-23.6097597,-46.6685115
Ilha do Retiro,-8.063751,-34.9038034
Wankdorf Stadium,46.9631042,7.4648638
Hardturm,47.3940376,8.5137558
Charmilles,45.5639983,5.9623279
La Pontaise,46.5332284,6.6243167
St. Jakob,49.3779079,10.1776632
Comunale di Cornaredo,45.4963073,9.0296574
Rasunda Stadium,59.3705761,18.0014724
Nya Ullevi,,
Malmo Stadion,55.5858549,12.9908709
Jarnvallen,61.7740224,16.3480919
Idrottsparken,58.5843928,16.1720584
Arosvallen,59.6204023,16.5406131
Rimnersvallen,58.3570576,11.9492993
Orjans Vall,56.6849036,12.8679973
Ryavallen,57.7357069,12.9349295
Olympia Stadium,39.6716996,66.9659784
Tunavallen,59.3706685,16.4959531
Eyravallen,,
Carlos Dittborn,-33.0366724,-71.5405334
Estadio Sausalito,-33.0144473,-71.5341445
Estadio El Teniente-Codelco,,
Nacional,-19.8516634,-44.0279863
Wembley Stadium,51.5560695,-0.2796034
Hillsborough,27.9184543,-82.3488057
Goodison Park,53.4386898,-2.9664193
Ayresome Park,54.566736,-1.2421523
Old Trafford Stadium,53.4630703,-2.2913485
Villa Park,52.5091264,-1.8850354
Roker Park Ground,,
White City,51.5116219,-0.2245282
Estadio Azteca,19.3029794,-99.15047
Cuauhtemoc,19.4414715,-99.1517322
Nou Camp - Estadio Le�n,,
Jalisco,20.3333331,-103.6666671
Luis Dosal,19.2864411,-99.7054275
Waldstadion,50.0686103,8.6454154
Olympiastadion,52.5145846,13.2398144
Volksparkstadion,53.5871535,9.8987056
Westfalenstadion,51.4924922,7.4518549
Niedersachsenstadion,52.360026,9.7310161
Rheinstadion,48.5628119,7.8115638
Neckarstadion,48.7922487,9.2320857
Parkstadion,51.5592587,7.0675771
El Monumental - Estadio Monumental Antonio Vespuci,,
Estadio Jos� Mar�a Minella,,
Arroyito - Estadio Dr. Lisandro de la Torre,-32.914023,-60.674499
Jose Amalfitani,-34.6353382,-58.5206788
Estadio Ol�mpico Chateau Carreras,,
San Martin,18.0814066,-63.0467131
Camp Nou,41.3807783,2.1156486
Estadio Municipal de Bala�dos,,
Ramon Sanchez Pizjuan,37.3846337,-5.9711558
Riazor,43.3686669,-8.4144922
Nuevo Estadio,43.264204,-2.9493915
La Rosaleda,36.7349597,-4.4265352
El Molinon,14.1055754,-87.1588728
San Mames,43.264204,-2.9493915
Luis Casanova,22.1753278,-101.024612
Carlos Tartiere,43.3608716,-5.8703316
Jose Zorrilla,-2.9112787,-79.0189996
La Romareda,41.6364888,-0.9018226
Jose Rico Perez,18.464132,-66.9291232
Benito Villamarin,37.3564503,-5.9809176
Vicente Calderon,-45.8107602,-67.4748757
Sarria,42.7784203,-7.4146607
Santiago Bernabeu,40.4523667,-3.6907254
Estadio Irapuato,20.6844987,-101.356357
Estadio Ol�mpico Universitario,,
Estadio Universitario,25.7226067,-100.3119863
Tres de Marzo,3.1766461,-76.4667941
Tecnologico,16.8579328,-99.8108112
Bombonera - Estadio Nemesio Diez,,
Neza,19.4079028,-99.0181547
Estadio Corregidora,20.5776446,-100.3663205
Giuseppe Meazza,40.7499514,16.2310536
Stadio San Nicola,41.0847276,16.8400849
Renato Dall Ara,44.492317,11.3099971
Stadio Olimpico,41.9339424,12.4547705
Comunale,44.1627412,10.3829322
Stadio delle Alpi,,
Sant Elia,42.3698261,12.8143536
Marc Antonio Bentegodi,,
Della Favorita,44.7093336,10.5031221
Dacia Arena,46.081402,13.1997411
San Paolo,-23.5506507,-46.6333824
Friuli,45.6528943,13.7804956
Cotton Bowl,32.7796119,-96.7596025
Soldier Field,41.8623356,-87.6176477
Pontiac Silverdome,42.6379672,-83.257684
Giants Stadium,39.7847747,-86.2944194
Rose Bowl,38.1295552,-86.9043042
Citrus Bowl,27.6313437,-80.3996506
RFK Stadium,38.8898161,-76.9719224
Stanford Stadium,37.4345264,-122.1619867
Foxboro Stadium,,
Stade de France,48.9244726,2.3601325
La Mosson,43.6220335,3.80773
Stade Felix Bollaert,50.43281,2.8149878
La Beaujoire,47.25976,-1.5304259
Stade de Gerland,45.7237756,4.8322517
Stade Geoffroy Guichard,45.4607567,4.3900932
Seoul World Cup Stadium,37.5683021,126.8972477
Munsu Football Stadium,35.535263,129.2594949
Niigata Stadium Big Swan,37.882576,139.0591584
Sapporo Dome,43.0166658,141.4113324
Kashima Stadium,35.9920049,140.6403679
Busan Asiad Main Stadium,35.1900767,129.0595481
Saitama Stadium 2002,35.90308,139.7168256
Gwangju World Cup Stadium,35.1337706,126.8750042
Kobe Wing Stadium,34.6566966,135.16976
Suwon World Cup Stadium,37.2864084,127.036805
Daegu World Cup Stadium,,
Jeonju World Cup Stadium,35.8678074,127.0645891
Jeju World Cup Stadium,33.2462695,126.5091071
Incheon Football Stadium,37.4661126,126.6430855
International Stadium Yokohama,35.5099882,139.6063825
Miyagi Stadium,38.3353606,140.9504567
Oita Stadium Big Eye,,
Shizuoka Stadium Ecopa,34.7434304,137.9707289
Osaka Nagai Stadium,34.6153577,135.5165441
Daejeon World Cup Stadium,36.3652534,127.3251074
"FIFA World Cup Stadium, Munich",,
"FIFA World Cup Stadium, Gelsenkirchen",,
"FIFA World Cup Stadium, Frankfurt",,
"FIFA World Cup Stadium, Dortmund",,
"FIFA World Cup Stadium, Hamburg",,
Zentralstadion,51.3457079,12.3482361
Franken-Stadion,54.3091967,13.0975629
"FIFA World Cup Stadium, Cologne",,
Fritz-Walter-Stadion,49.4345765,7.7766303
"FIFA World Cup Stadium, Hanover",,
Gottlieb-Daimler-Stadion,48.7922487,9.2320857
Soccer City Stadium,-26.2347063,27.9826439
Cape Town Stadium,-33.9034601,18.4111458
Port Elizabeth Stadium,-33.937792,25.5994087
Ellis Park Stadium,-26.1974789,28.0607682
Royal Bafokeng Sports Palace,-25.5787724,27.160813
Peter Mokaba Stadium,-23.9248058,29.4679601
Loftus Versfeld Stadium,-25.7532347,28.2229327
Durban Stadium,-29.8290201,31.0313741
Free State Stadium,-29.1172351,26.2087696
Mbombela Stadium,-25.4617294,30.9296899
Arena de Sao Paulo,-23.5453327,-46.4743055
Estadio das Dunas,-5.8265803,-35.2126879
Arena Fonte Nova,-12.9787926,-38.5035601
Arena Pantanal,-15.6040649,-56.1222989
Estadio Mineirao,-17.357694,-44.9621479
Estadio Castelao,-3.8067419,-38.5216794
Arena Amazonia,1.6168514,-75.3087673
Arena Pernambuco,-8.8375514,-35.5725273
Estadio Nacional,-12.0670682,-77.0338629
Estadio Beira-Rio,-21.2855213,-42.552353
Estadio do Maracana,-22.9121619,-43.2311861
Arena da Baixada,-24.0019024,-46.4130751
